video,focal_subject,behavior,type,start_time,end_time,duration,notes
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.873,300.873,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.878,300.878,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.894,300.894,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.923,300.923,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.972,300.972,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.973,300.973,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.976,300.976,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.979,300.979,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.008,301.008,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.076,301.076,NA,
Pair 2- Intro (ED),Male,Follow,STATE,301.109,302.359,1.25,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.14,301.14,NA,burrowing behavior
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.144,301.144,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.174,301.174,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.191,301.191,NA,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,301.257,301.257,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.258,301.258,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.267,301.267,NA,
Pair 22- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.328,301.328,NA,
Pair 16- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.341,301.341,NA,
Pair 10- 48 Hrs (ED),No focal subject,Contact time,STATE,301.393,303.393,2,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.475,301.475,NA,
Pair 12- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.49,301.49,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.512,301.512,NA,
Pair 23- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.576,301.576,NA,
Pair 3- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,301.593,301.593,NA,
Pair 23- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.61,301.61,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.627,301.627,NA,
Pair 2- Intro (ED),No focal subject,Half passes,POINT,301.639,301.639,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,301.66,301.66,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.725,301.725,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.758,301.758,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.774,301.774,NA,
Pair 17- 1 week (ED),Male,Autogrooming,STATE,301.807,338.558,36.751,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.811,301.811,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.875,301.875,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,301.893,301.893,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.907,301.907,NA,
Pair 20- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,301.909,301.909,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,301.91,301.91,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,301.942,301.942,NA,
Pair 12- 24 Hrs (ED),Female,Autogrooming,STATE,301.96,303.21,1.25,
Pair 20- 24 Hrs (ED),No focal subject,Contact time,STATE,301.961,302.961,1,
Pair 22- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.007,302.007,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.008,302.008,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.009,302.009,NA,
Pair 10- Intro (ED),Female,Autogrooming,STATE,302.023,312.273,10.25,
Pair 15- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.023,302.023,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.024,302.024,NA,
Pair 9- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.043,302.043,NA,
Pair 15- Intro ( ED),No focal subject,Contact time,STATE,302.074,309.825,7.751,
Pair 14- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,302.09,302.09,NA,
Pair 18- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.094,302.094,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.109,302.109,NA,
Pair 22- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.14,302.14,NA,
Pair 17- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.175,302.175,NA,
Pair 16- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.291,302.291,NA,
Pair 10- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.317,302.317,NA,
Pair 23- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.359,302.359,NA,
Pair 16- 1 week (ED) (2),No focal subject,Stereotypic Behaviors,POINT,302.389,302.389,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.407,302.407,NA,
Pair 22- Intro (ED),No focal subject,Contact time,STATE,302.41,305.16,2.75,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.423,302.423,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,302.458,302.458,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.473,302.473,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,302.475,302.475,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.509,302.509,NA,
Pair 24- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.562,302.562,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.575,302.575,NA,
Pair 16- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.591,302.591,NA,
Pair 16- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.607,302.607,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.608,302.608,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,302.64,302.64,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.641,302.641,NA,
Pair 6- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.641,302.641,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.661,302.661,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.676,302.676,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.707,302.707,NA,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.726,302.726,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.758,302.758,NA,
Pair 23- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.758,302.758,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.759,302.759,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.778,302.778,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.84,302.84,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.86,302.86,NA,
Pair 24- Intro (ED),No focal subject,Contact time,STATE,302.889,304.889,2,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,302.894,302.894,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.909,302.909,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,302.942,302.942,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.943,302.943,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,302.975,302.975,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,303.008,303.008,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.011,303.011,NA,
Pair 15- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.027,303.027,NA,
Pair 14- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,303.09,303.09,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.125,303.125,NA,
Pair 22- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,303.16,303.16,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.224,303.224,NA,
Pair 13- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,303.258,303.258,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.258,303.258,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.26,303.26,NA,
Pair 15- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.274,303.274,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.39,303.39,NA,
Pair 8- 48 Hrs (ED),Female,Autogrooming,STATE,303.408,310.911,7.503,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.411,303.411,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.443,303.443,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.445,303.445,NA,
Pair 4- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,303.474,303.474,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.509,303.509,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.525,303.525,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.608,303.608,NA,
Pair 11- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.623,303.623,NA,
Pair 11- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.641,303.641,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.644,303.644,NA,
Pair 3- Intro (ED),Male,Autogrooming,STATE,303.657,318.343,14.686,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.661,303.661,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.673,303.673,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.674,303.674,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.68,303.68,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.692,303.692,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.723,303.723,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.723,303.723,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.724,303.724,NA,
Pair 5- 24 Hrs (ED),No focal subject,Contact time,STATE,303.726,305.476,1.75,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.758,303.758,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.79,303.79,NA,
Pair 24- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,303.812,303.812,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,303.909,303.909,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.942,303.942,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.958,303.958,NA,
Pair 17- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,303.972,303.972,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.008,304.008,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.008,304.008,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,304.01,304.01,NA,
Pair 18- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.023,304.023,NA,
Pair 20- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.06,304.06,NA,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.062,304.062,NA,
Pair 13- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.075,304.075,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.106,304.106,NA,
Pair 10- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.143,304.143,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.144,304.144,NA,
Pair 6- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,304.157,304.157,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.173,304.173,NA,
Pair 6- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.18,304.18,NA,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.181,304.181,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.191,304.191,NA,
Pair 15- Intro ( ED),No focal subject,Nose-to- Anogenital Investigation,STATE,304.223,309.223,5,
Pair 9- 48 Hrs (ED),No focal subject,Contact time,STATE,304.243,305.993,1.75,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.257,304.257,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,304.261,304.261,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.262,304.262,NA,
Pair 22- 48 Hrs (ED),No focal subject,Contact time,STATE,304.326,307.025,2.699,
Pair 16- 48 Hrs (ED),No focal subject,Contact time,STATE,304.341,308.091,3.75,
Pair 22- 1 week (ED),No focal subject,Contact time,STATE,304.392,305.64,1.248,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.472,304.472,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.474,304.474,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.51,304.51,NA,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.54,304.54,NA,
Pair 16- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.544,304.544,NA,
Pair 16- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,304.623,304.623,NA,
Pair 9- 1 week (ED),No focal subject,Contact time,STATE,304.627,306.877,2.25,
Pair 16- 1 week (ED) (2),No focal subject,Stereotypic Behaviors,POINT,304.639,304.639,NA,
Pair 21- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.673,304.673,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.693,304.693,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,304.728,304.728,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.756,304.756,NA,
Pair 12- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.81,304.81,NA,
Pair 20- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.811,304.811,NA,
Pair 14- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,304.84,304.84,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.859,304.859,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,304.878,304.878,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,304.889,304.889,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.893,304.893,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.93,304.93,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.94,304.94,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,304.974,304.974,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.011,305.011,NA,
Pair 15- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.024,305.024,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.026,305.026,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.127,305.127,NA,
Pair 5- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,305.143,305.143,NA,
Pair 6- Intro (ED),No focal subject,Nose to Nose Investigation,STATE,305.154,306.359,1.205,
Pair 6- Intro (ED),No focal subject,Contact time,STATE,305.159,306.909,1.75,
Pair 5- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.177,305.177,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.226,305.226,NA,
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.257,305.257,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,305.257,305.257,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.325,305.325,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.365,305.365,NA,
Pair 16- 1 week (ED) (2),No focal subject,Stereotypic Behaviors,POINT,305.389,305.389,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,305.39,305.39,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.406,305.406,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.411,305.411,NA,
Pair 14- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.442,305.442,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.507,305.507,NA,
Pair 18- 48 Hrs (ED),No focal subject,Contact time,STATE,305.526,309.274,3.748,
Pair 16- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.542,305.542,NA,
Pair 24- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.562,305.562,NA,
Pair 22- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.566,305.566,NA,
Pair 18- 48 Hrs (ED),No focal subject,Nose to Nose Investigation,STATE,305.576,307.826,2.25,
Pair 22- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.576,305.576,NA,
Pair 10- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.578,305.578,NA,
Pair 14- Intro (ED),No focal subject,Contact time,STATE,305.59,307.34,1.75,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.643,305.643,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.673,305.673,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.678,305.678,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.692,305.692,NA,
Pair 12- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.706,305.706,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,305.71,305.71,NA,
Pair 4- 24 Hrs (ED),No focal subject,Contact time,STATE,305.742,306.742,1,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.757,305.757,NA,
Pair 22- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.76,305.76,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.762,305.762,NA,
Pair 12- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.81,305.81,NA,
Pair 5- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,305.877,305.877,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,305.891,305.891,NA,
Pair 2- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,305.908,305.908,NA,
Pair 1- 24 Hrs (ED),No focal subject,Contact time,STATE,305.96,307.21,1.25,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,305.976,305.976,NA,
Pair 18- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,306.008,306.008,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.009,306.009,NA,
Pair 13- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.074,306.074,NA,
Pair 16- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,306.123,306.123,NA,
Pair 10- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.141,306.141,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,306.207,306.207,NA,
Pair 20- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.21,306.21,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.223,306.223,NA,
Pair 18- 1 week (ED),No focal subject,Contact time,STATE,306.273,307.277,1.004,
Pair 24- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.293,306.293,NA,
Pair 24- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.312,306.312,NA,
Pair 6- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.357,306.357,NA,
Pair 7- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.43,306.43,NA,
Pair 14- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.443,306.443,NA,
Pair 2- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.443,306.443,NA,
Pair 1- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.46,306.46,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.473,306.473,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.474,306.474,NA,
Pair 5- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.476,306.476,NA,
Pair 9- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.494,306.494,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.507,306.507,NA,
Pair 2- Intro (ED),Female,Autogrooming,STATE,306.559,316.306,9.747,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,306.625,306.625,NA,
Pair 3- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.642,306.642,NA,
Pair 14- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.66,306.66,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.673,306.673,NA,
Pair 6- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.68,306.68,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.692,306.692,NA,
Pair 7- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,306.725,306.725,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.726,306.726,NA,
Pair 1- 48 Hrs (ED) (2),No focal subject,Stereotypic Behaviors,POINT,306.758,306.758,NA,
Pair 23- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.761,306.761,NA,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.777,306.777,NA,
Pair 9- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.792,306.792,NA,
Pair 17- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,306.809,306.809,NA,
